context,from,to,weight
rare-disease-day-2018,yana1954,RVAwonk,1
dementia-action-week-2018,otbcnmtd,CastleMall,2
wear-purple-for-jia-2018,cherington_hr,Ed_Miliband,1
jeans-for-genes-day,oops_hlnlz93,MrsAnneTwist,1
epilepsy-awareness-purple-day-2018,legitcassiewil,LLSJ_Jess,3
wear-purple-for-jia-2018,sirpaget,sharon2914,1
brain-awareness-week-2018,eaneurology,Brain_Facts_org,1
rare-disease-day-2018,isellevr,vaneun,1
16-days-of-action-2018,matlho53,phumzileunwomen,1
nutrition-and-hydration-week-2018,mynameisandyj,SarahJo33572226,1
mental-health-awareness-week-2018,ladyleo1976,mentalhealth,1
national-dementia-carers-2018,myicclondon,irishinbritain,1
dry-january-2018,smnrose,ChocTradingCo,1
eating-disorder-awareness-week-2018,scutoidd,PennyRed,1
eating-disorder-awareness-week-2018,tanyalorettadee,StegosaurusPlay,1
carers-week-2018,notanniem,wgdep_health,1
national-dyslexia-week-2018,suebecker1013,Jisc,1
time-to-talk-day-2018,suzyq228,The_UnSilent_,1
experience-of-care-week-2018,roylilley,JulesLewis6,1
16-days-of-action-2018,koussayboulaich,UNHabitatAfg,1
eating-disorder-awareness-week-2018,crazynutta,happifulkids,1
mens-health-week-2018,mens10k,HowManyMiles_,1
ocd-awareness-week-2018,sneakyfallow,lwbean,1
nutrition-and-hydration-week-2018,cshsurrey,CarersUK,1
nutrition-and-hydration-week-2018,darmstrong70,MFT_PatientExp,1
16-days-of-action-2018,diophenriette,Doyna_sn,1
elf-day,meisafairy,thesovrangroup,1
elf-day,bouncytits1,sophiemk_escort,1
no-smoking-day-2018,luvjitkandula,PSNCNews,1
stress-awareness-day,jake1976_,_ukactive,1
time-to-talk-day-2018,8belmo_,ZoeSugg,1
national-dementia-carers-2018,ceeceeinatl,emmabraz01,1
jeans-for-genes-day,struthharold,MrsAnneTwist,1
mens-health-week-2018,coolmentoring,BCRFcure,1
brain-awareness-week-2018,s9tmt,Neurotweeps,1
dry-january-2018,mysocialchester,chesterdotcom,1
brain-awareness-week-2018,mhall55nine,artthescience,1
jeans-for-genes-day,louisisterx,MrsAnneTwist,1
16-days-of-action-2018,bethhywel,safelives_,4
wear-purple-for-jia-2018,uommskresearch,CapsieNair,1
national-dementia-carers-2018,ralphnmartins1,alzheimerssoc,1
mnd-awareness-month-2018,dooleycatherine,NickGoldup1,1
national-dyslexia-week-2018,panamadip,DriverTrust,1
mnd-awareness-month-2018,katielouhull,RunMND,1
national-dyslexia-week-2018,wiasnofficial,joanna_ball,1
epilepsy-awareness-purple-day-2018,bobsil42,gkelley_25,1
carers-week-2018,keeleymp,CarersLeeds,1
elf-day,jwemeryltd,RCHhomes,1
dry-january-2018,crystalfez,DrinkTg,2
16-days-of-action-2018,pippaliciousj,swasFT,1
national-dementia-carers-2018,adrian_friel02,alzheimerssoc,1
national-dementia-carers-2018,honitondaa,alzheimerssoc,1
16-days-of-action-2018,tolaadesemowo,MancWomensAid,1
carers-week-2018,rehana_begum9,bayliss_j94,1
nutrition-and-hydration-week-2018,mynameisandyj,Joannegough6,1
mens-health-week-2018,ymcanorfolk,mentalhealth,1
no-smoking-day-2018,warringtonworld,YourLiveWire,1
jeans-for-genes-day,harryguccibr,MrsAnneTwist,1
dry-january-2018,prdirectlimited,cellardine,1
wear-purple-for-jia-2018,guileless_1,Ed_Miliband,1
national-dementia-carers-2018,susan_wragg,alzheimerssoc,1
time-to-talk-day-2018,tinytiernan,GumOnMyShoeBook,1
national-dementia-carers-2018,hazeltraining,VamosTheatre,1
time-to-talk-day-2018,emdudley59,The_UnSilent_,1
experience-of-care-week-2018,juliemccrossin,NSWCEC,1
mental-health-awareness-week-2018,alisoncarrick1,itvnews,1
dementia-action-week-2018,oldhamlawassoc,NorthAinley,1
16-days-of-action-2018,newhopepublish,UN_Women,1
mental-health-awareness-week-2018,antonybutcher,kay_ska,1
brain-injury-week-2018,headwaybristol,HeadwayUK,1
16-days-of-action-2018,pam_ch7,UN_Women,1
mens-health-week-2018,ewoodmedical,mac_cancerinfo,1
ovarian-cancer-awareness-month-2018,nocc_ma,NOCC_National,1
wear-purple-for-jia-2018,kearsleyfleet,CapsieNair,1
16-days-of-action-2018,eraaustralia,AWAVA_women,1
ovarian-cancer-awareness-month-2018,fitfabfunmeals,wrappedupnu,1
national-dyslexia-week-2018,mrsamk73,thinkpix_suze,1
elf-day,pcspepperoni,PCsDRAG0N,1
eating-disorder-awareness-week-2018,heatherbowes7,tc187,1
dry-january-2018,haltyballa,ChocTradingCo,1
mental-health-awareness-week-2018,nee_ceey,AsEqualsAfrica,1
no-smoking-day-2018,clarelmadgin,smokefreelifeOx,1
eating-disorder-awareness-week-2018,_rebeccadunne,FirstStepsED,1
ovarian-cancer-awareness-month-2018,eatonrifles1,DrummondoLive,1
stress-awareness-day,gastonjade,TerriIrwin,1
mens-health-week-2018,ziziosama2gmail,mhall55nine,1
time-to-talk-day-2018,stephanietang31,2020Comms,1
brain-awareness-week-2018,rsofpharmacy,SWC_Neuro,1
no-smoking-day-2018,psl_hampshire,EDPDrugAlcohol,1
nutrition-and-hydration-week-2018,fishhydration,SarahJo33572226,1
wear-purple-for-jia-2018,londonnetworker,Ed_Miliband,1
rare-disease-day-2018,jecallender,savvy_coop,1
national-dyslexia-week-2018,cathrynpearce,Jisc,1
elf-day,jaybelevee,thesovrangroup,1
mens-health-week-2018,relaysan,SU2C,1
dementia-action-week-2018,weedo100,Livvylives72,1
cervical-cancer-prevention-week-2018,lopezgovlaw,sloan_kettering,1
mnd-awareness-month-2018,mndvolunteering,MNDAEastSussex,3
carers-week-2018,frindsmb,tide_carers,1
cervical-cancer-prevention-week-2018,samyarwood89,samyarwood89,1
time-to-talk-day-2018,stevie_g_95,theresa_may,1
elf-day,gembell1977,NisaRetail,1
national-dyslexia-week-2018,patriciamunn604,DyslexiaAssist,1
carers-week-2018,annabaylisa,BrahmaKumarisUK,1
16-days-of-action-2018,thevelveteendog,DogsTrust,1
nutrition-and-hydration-week-2018,mynameisandyj,CarlaBowmann,1
mens-health-week-2018,foodtechbgs,safefood_eu,1
nutrition-and-hydration-week-2018,bevbighair,GeriSoc,1
stress-awareness-day,lillly3004,natlibscot,1
wear-purple-for-jia-2018,k4owen,Ed_Miliband,1
nutrition-and-hydration-week-2018,sarahha88622902,BurrellHealth,1
ocd-awareness-week-2018,yomna_gabry,lwbean,1
dry-january-2018,malcolmsurgenor,ScotUrbanPast,1
no-smoking-day-2018,our2rotts,jcph_iowa,1
dry-january-2018,alanyoungman2,31DOVER,1
epilepsy-awareness-purple-day-2018,epilepsyswo,TELUS_Spark,1
time-to-talk-day-2018,teresashirl,stephenfry,1
mnd-awareness-month-2018,mndmanchester,Staceyk51,1
national-dyslexia-week-2018,jamiehanley,NellAndrewLDN,1
brain-awareness-week-2018,drbillelwood,NIBIBgov,1
cervical-cancer-prevention-week-2018,lindahalsey2,Advaxis,1
no-smoking-day-2018,breathe2025,smokefreelifeOx,1
national-dementia-carers-2018,sjnurrish,alzheimerssoc,2
stress-awareness-day,enya1235,Edu_Broker,1
no-smoking-day-2018,sincerelyessie,Rachael_Stray,1
stress-awareness-day,debralindh,brian_bilston,1
time-to-talk-day-2018,emmburts,bsgltd,1
cervical-cancer-prevention-week-2018,issydactyl,Scouse_ma,1
elf-day,twittmanageruk,RinginglowArrow,1
elf-day,alzsocnwengland,crystallegal,1
16-days-of-action-2018,greenfinchmrs,DogsTrust,1
no-smoking-day-2018,hypnoleicester,UK_Hypnotherapy,1
no-smoking-day-2018,janinelawson12,ncnhswellbeing,1
mens-health-week-2018,tracyherd,RLCares,1
experience-of-care-week-2018,hshow22time,NancyCorcoran_,1
national-dyslexia-week-2018,tiassl,StNiniansLib,1
brain-injury-week-2018,steveha01750872,HeadwayUK,1
ocd-awareness-week-2018,conicuuu,lwbean,1
brain-injury-week-2018,dorset_hour,ColesMillerLLP,1
dry-january-2018,harps_83,31DOVER,1
brain-awareness-week-2018,momily1977,MichaelJFoxOrg,1
mens-health-week-2018,johannask,OgilvyHealthNA,1
16-days-of-action-2018,childfundau,Women_Win,1
16-days-of-action-2018,topisue56,DogsTrust,1
mens-health-week-2018,conefreypharmac,MensHealthIRL,2
wear-purple-for-jia-2018,jenniej95408140,JIA_NRAS,5
mens-health-week-2018,robyeldham,VersusArthritis,1
brain-injury-week-2018,atttweet,jessicaegan13,1
eating-disorder-awareness-week-2018,commcarewhct,CAMHS_CEDSworcs,1
mnd-awareness-month-2018,drneilpender,boltonhospice,1
ovarian-cancer-awareness-month-2018,lesleymanning18,NHSEngland,1
experience-of-care-week-2018,alecpett,savvy_coop,1
mnd-awareness-month-2018,sl_thompson,NickGoldup1,1
national-dementia-carers-2018,cedowling94,alzheimerssoc,1
national-dementia-carers-2018,elinoreusceptic,alzheimerssoc,1
national-dyslexia-week-2018,bibliosophus,Booktrust,1
nutrition-and-hydration-week-2018,jeremyn1000,NHSuk,1
elf-day,flipskip1,LitterboxComics,1
cervical-cancer-prevention-week-2018,marketingmam,WBFServices,1
eating-disorder-awareness-week-2018,clinpsy,nchawkes,1
dementia-action-week-2018,firstark,knowsleyhousing,1
elf-day,lavartor24,LitterboxComics,1
national-dementia-carers-2018,annenolan2,alzheimerssoc,1
carers-week-2018,huw4ogmore,wgdep_health,1
epilepsy-awareness-purple-day-2018,npgk_,gblagden,1
brain-awareness-week-2018,hopkinsneuro,HopkinsKavli,1
jeans-for-genes-day,stilesjarry1d,MrsAnneTwist,1
wear-purple-for-jia-2018,simont65,harryt68,1
rare-disease-day-2018,lynnschmittle,curejm,1
mens-health-week-2018,pattybboyd,HealthyMenMI,1
dementia-action-week-2018,barchester_care,jk_janetkaye,1
national-dyslexia-week-2018,bossgmb,NellAndrewLDN,1
jeans-for-genes-day,ambitioust2428,GeneticDisUK,1
nutrition-and-hydration-week-2018,paulrey75103702,EarleyTracy,1
nutrition-and-hydration-week-2018,nestamccluskey,BCUHB,1
mens-health-week-2018,coolmentoring,chilyly,1
brain-injury-week-2018,walkingwithcol,Annejphotos,1
dementia-action-week-2018,donnagreenssj,TheMemoryBP,1
stress-awareness-day,daphnevlake,MindCharity,1
brain-injury-week-2018,harrietbrooks89,ColesMillerLLP,1
eating-disorder-awareness-week-2018,mymntlhealth,AlexCarlingTTS,1
brain-awareness-week-2018,puntiba,brainfilmfest,1
mental-health-awareness-week-2018,annatavince90,ThisIsMattiejas,1
brain-awareness-week-2018,cshl_wise,CSHL_WISE,2
rare-disease-day-2018,sadipt01,medfetalBCN_ID,1
national-dementia-carers-2018,devianttrumasta,alzheimerssoc,1
ocd-awareness-week-2018,rapidthenerd,lwbean,1
dementia-action-week-2018,ulf_fenisc,rageineden,1
rare-disease-day-2018,jfalato,ChectUK,1
experience-of-care-week-2018,nobismhealth,Kowalski2086,1
mnd-awareness-month-2018,becinmonton,chrismaple73,1
dementia-action-week-2018,sheridan_coker,MidCheshireNHS,1
jeans-for-genes-day,aimhlwt_28,MrsAnneTwist,1
wear-purple-for-jia-2018,mredwardsfehs,TopMarkNorwich,1
national-dyslexia-week-2018,tiassl,LibraryatEA,1
mens-health-week-2018,joylarsenhaidle,GeneticCouns,1
no-smoking-day-2018,gemstaffnurse,CDDFTNHS,1
stress-awareness-day,slave_4_b,_JessicaDavies,1
no-smoking-day-2018,richhl,CambsCC,1
elf-day,simm_anthon,AnfieldRoadY4,1
national-dyslexia-week-2018,eiclibrary,272BookFaith,1
brain-awareness-week-2018,ianboostaciefan,mssocietyuk,1
16-days-of-action-2018,lexieisfree,CLUBdeMADRID,1
cervical-cancer-prevention-week-2018,selbygp,ValeofYorkCCG,1
elf-day,cnlyld,PCsDRAG0N,1
carers-week-2018,mynameisandyj,Joanna_Rapson,1
mental-health-awareness-week-2018,u_didnt_saythat,JamesMelville,1
dementia-action-week-2018,jac88knight,SophTSW,1
stress-awareness-day,lindaturner997,Edu_Broker,1
mnd-awareness-month-2018,melli_louise,Vicky_100K4MNDA,1
elf-day,casaadoption,FatherHudsons,1
epilepsy-awareness-purple-day-2018,jamesjimmy_h,AnKarpo,1
ocd-awareness-week-2018,kamibelz,lwbean,1
epilepsy-awareness-purple-day-2018,epilepsy_durham,Purpl_Wav,1
national-dyslexia-week-2018,jbelger67,Jisc,1
wear-purple-for-jia-2018,anwar_rashad,Ed_Miliband,1
ocd-awareness-week-2018,bandaidfingers,lwbean,1
mens-health-week-2018,cricciotti,Herbalife,1
elf-day,sharon_tweeter,thesovrangroup,1
eating-disorder-awareness-week-2018,hannah_w_vlogs,CPrice2184,1
no-smoking-day-2018,praills,myvisionmatters,1
jeans-for-genes-day,solara24129,MrsAnneTwist,1
ocd-awareness-week-2018,scotttboy1,lwbean,1
ovarian-cancer-awareness-month-2018,moragharvey,NHSEngland,1
stress-awareness-day,kate_a_obrien,GPlusinfo,1
brain-awareness-week-2018,walthercancerin,AllenInstitute,1
rare-disease-day-2018,samdownie,DannyDidOrg,1
rare-disease-day-2018,schtickzinger,RVAwonk,1
epilepsy-awareness-purple-day-2018,agriconsult,AmpleOrganics,1
experience-of-care-week-2018,mattgtimmons,SFMontenegro,1
jeans-for-genes-day,mummyoftoomany1,Sovereign_Play,1
mnd-awareness-month-2018,shark_1234,MNDeventsPlym,1
dry-january-2018,barnsleyhospice,Phil_ainsworth,1
no-smoking-day-2018,mackemraveremma,SunderlandEcho,1
jeans-for-genes-day,paynebujao,MrsAnneTwist,1
national-dementia-carers-2018,sleepycat65,alzheimerssoc,1
wear-purple-for-jia-2018,tas_pats_lv,Ed_Miliband,1
mental-health-awareness-week-2018,andrew_jb96,JamesMelville,1
no-smoking-day-2018,nhsleicester,myvisionmatters,1
mens-health-week-2018,conaldevitt,LWSefton,1
no-smoking-day-2018,coolioxi,tenovuscancer,1
no-smoking-day-2018,nteeshpoolnhsft,feenjo,1
eating-disorder-awareness-week-2018,jmw3cat,jamesldowns,1
epilepsy-awareness-purple-day-2018,elodie_potdevin,gblagden,1
mental-health-awareness-week-2018,glasgowcathcart,JamesMelville,1
eating-disorder-awareness-week-2018,scousepie,ilonacatherine,1
carers-week-2018,shoolyboo,theSNP,1
elf-day,ectstaff,silkphysio,1
dementia-action-week-2018,thedawnmethod,gbtpo,1
mental-health-awareness-week-2018,amydaultrey,JamesMelville,1
elf-day,sejenks,Hill_Care_,1
brain-injury-week-2018,paulpansky,Falke0801,1
ocd-awareness-week-2018,misspurplettr,lwbean,1
national-dementia-carers-2018,fluffybex,alzheimerssoc,2
mental-health-awareness-week-2018,jak_knight,LieletteCalleja,1
elf-day,hygieiagroupltd,TheOaks28,1
brain-injury-week-2018,oneworldonepeo1,TrulyRoo,1
no-smoking-day-2018,yav_sunderland,SunderlandCCG,1
carers-week-2018,mansfield70,salfordcarers1,1
mental-health-awareness-week-2018,coolmentoring,imeloweez,1
stress-awareness-day,c_hadz30,_ukactive,1
carers-week-2018,riponsray,bankofengland,1
dementia-action-week-2018,disabilitynorth,NewcastleBSoc,1
no-smoking-day-2018,nhscumbriaccg,MorecambeBayCCG,1
mental-health-awareness-week-2018,loudandannoying,JamesMelville,1
nutrition-and-hydration-week-2018,mel_oates12,theRCN,1
dry-january-2018,debbiemckinneyd,ChangingLives__,1
ovarian-cancer-awareness-month-2018,pedagogyce,drwalker_rph,1
mens-health-week-2018,traceyt12681,Wellbeing_Suff,1
rare-disease-day-2018,zannafranna,PTENResearch,1
stress-awareness-day,makahorney,CrisisTextLine,1
mnd-awareness-month-2018,chrissy2k2,hullnhschoir,1
dementia-action-week-2018,momstaxi104,saralivadeas,1
nutrition-and-hydration-week-2018,menna_stocks,iProSport,1
wear-purple-for-jia-2018,johnmfitzp,Ed_Miliband,1
dementia-action-week-2018,acdelion,ComicsGrid,1
national-dementia-carers-2018,esussexnhs,CareQualityComm,1
brain-awareness-week-2018,fabstacie,FirstFiveNebr,1
national-dyslexia-week-2018,bsakprimhead,BSAKyear5,1
mens-health-week-2018,jenipim,killianbyrne,1
national-dementia-carers-2018,klcanolog,DementiaUK,1
time-to-talk-day-2018,reed_enfield,MindCharity,1
national-dyslexia-week-2018,letchfordlois,LetchfordLois,1
ocd-awareness-week-2018,miggea,lwbean,1
mnd-awareness-month-2018,sandras_smith,DavinaRivers,1
time-to-talk-day-2018,thelaceylondon,philipdhume,1
time-to-talk-day-2018,perffbieberxx,TheVampsCon,1
dementia-action-week-2018,toonlibraries,ingridboring,1
time-to-talk-day-2018,rj_phoenix16,2020Comms,1
stress-awareness-day,thepetrasanchez,DeniseAustin,1
16-days-of-action-2018,tseday,phumzileunwomen,1
epilepsy-awareness-purple-day-2018,coldcoldcola,JennieJacques1,1
carers-week-2018,teenap4,NHSEngland,1
no-smoking-day-2018,tobaccofreemeck,SmokefreeUs,1
stress-awareness-day,queensofwarrior,TerriIrwin,1
jeans-for-genes-day,curly_cat94,MrsAnneTwist,1
ocd-awareness-week-2018,rosie_rentz,lwbean,1
carers-week-2018,stephgood_,gallusgirl,1
nutrition-and-hydration-week-2018,mynameisandyj,platinum_cares,1
cervical-cancer-prevention-week-2018,wustlphs,SitemanCenter,1
epilepsy-awareness-purple-day-2018,mgmpresents,gblagden,1
dementia-action-week-2018,otbcnmtd,TrustCareAgency,1
time-to-talk-day-2018,heatherbowes7,SterlingJoy94,1
elf-day,williamsgwynfa,thesovrangroup,1
mnd-awareness-month-2018,trishnabharadia,Moz0373Runner,1
mnd-awareness-month-2018,scotrail,alex_morty,1
no-smoking-day-2018,nhsleicester,ActiveLeicester,1
brain-injury-week-2018,danielbrien_,NWABIManchester,1
brain-awareness-week-2018,gene_hobbs,UNC_SOM,1
dry-january-2018,island_lola,31DOVER,1
jeans-for-genes-day,cazzkins,salisburygp,1
dementia-action-week-2018,womanleader,saralivadeas,1
16-days-of-action-2018,lookbeyondlooks,thewomens,1
brain-awareness-week-2018,ceri_mcdade,FrontiersIn,1
ovarian-cancer-awareness-month-2018,hackhound,FelicityBarrTV,1
national-dyslexia-week-2018,maurawork,StPaulsHub,1
epilepsy-awareness-purple-day-2018,lindaquattrin,Thepurplelilac,1
dry-january-2018,greenwichhour,ReadingFairyBex,1
stress-awareness-day,garydoescopy,JuliaGodridge,1
cervical-cancer-prevention-week-2018,pattilestrange1,ACS_California,1
no-smoking-day-2018,andysc11,Kent_cc,1
brain-injury-week-2018,harrietbrooks89,HyphenLaw,1
national-dementia-carers-2018,williamshankly,DementiaUK,1
mental-health-awareness-week-2018,dcarlsen13,JamesMelville,1
16-days-of-action-2018,sdmulherrn,ONUMulheresBR,1
mnd-awareness-month-2018,bptheyounger,alex_morty,1
ocd-awareness-week-2018,melizarroyo,lwbean,1
mental-health-awareness-week-2018,txssi,itvnews,1
nutrition-and-hydration-week-2018,sianmorganb,HannahLHartnett,1
jeans-for-genes-day,deirdredonova12,ukgeneralgroup,1
time-to-talk-day-2018,faithngd,pitcher_lise,1
elf-day,carlislehealth,NHSCumbriaCCG,1
cervical-cancer-prevention-week-2018,humblesmiths,drfemi,1
16-days-of-action-2018,iipz8,UN_Women,1
national-dyslexia-week-2018,katenoel76,272BookFaith,1
brain-injury-week-2018,dancingangel81,ColesMillerLLP,1
ovarian-cancer-awareness-month-2018,scalpconfident,Londonchicks,1
ocd-awareness-week-2018,damianalcolea,OCDUK,1
brain-awareness-week-2018,adamawedwards,ARUKnews,1
national-dementia-carers-2018,hill_libraries,alzheimerssoc,1
no-smoking-day-2018,breathe2025,ASH_LDN,1
eating-disorder-awareness-week-2018,juliesmaddogs,normanlamb,1
national-dyslexia-week-2018,sglosall,NHSuk,1
carers-week-2018,penmon999,HappyLittleHugh,1
elf-day,andersonjuliee,KarenLeeDWP,1
dementia-action-week-2018,4radiochamp,_socialdrone,1
eating-disorder-awareness-week-2018,margejenny,normanlamb,1
mnd-awareness-month-2018,jaynes__world,MNDAEastSussex,1
mnd-awareness-month-2018,martials_art,MNDAEastSussex,2
epilepsy-awareness-purple-day-2018,samehserry20,PedsEpilepsyDoc,1
brain-awareness-week-2018,zupan_barbra,osla_ontario,1
ovarian-cancer-awareness-month-2018,jilltan,ocrahope,1
time-to-talk-day-2018,josie_kate_92,nhampshireccg,1
experience-of-care-week-2018,christajcampo,TerriSonger,1
brain-injury-week-2018,seesuechtige,conni_kiss,1
carers-week-2018,theresaleavy,CarersNI,1
nutrition-and-hydration-week-2018,her_that_writes,SisterKatie1,1
dementia-action-week-2018,stepin2nature,Nat_Choices,1
16-days-of-action-2018,chikukwaj,phumzileunwomen,1
ovarian-cancer-awareness-month-2018,mylatinatable,wrappedupnu,1
cervical-cancer-prevention-week-2018,haveringlibdems,HaveringCCG,1
ocd-awareness-week-2018,mrcrimsonman,lwbean,1
time-to-talk-day-2018,stephenparkerf1,ZoeSugg,1
no-smoking-day-2018,blenheimcdp,DAWS_London,1
ocd-awareness-week-2018,princeshouto,lwbean,1
national-dementia-carers-2018,trentvalleysur,alzheimerssoc,1
stress-awareness-day,wiredraz,MindCharity,1
jeans-for-genes-day,nevermindbitch8,MrsAnneTwist,1
carers-week-2018,age_ni,agenipolicy,1
wear-purple-for-jia-2018,thewomanfredi,Ed_Miliband,1
mens-health-week-2018,runmo,mentalhealth,1
national-dementia-carers-2018,ampajak,CareQualityComm,1
elf-day,nitu_23,PCsDRAG0N,1
carers-week-2018,annathame,theSNP,1
national-dyslexia-week-2018,onedavidfletch,thinkpix_suze,1
carers-week-2018,sammifleet,mndassoc,1
dementia-action-week-2018,jazannearts,MagicMeArts,1
time-to-talk-day-2018,alexkindlegames,girlzombii,1
time-to-talk-day-2018,susanmaycock,KNHKirklees,1
experience-of-care-week-2018,claireunderdown,clairejukesy,1
jeans-for-genes-day,nikhilmahatma,medstarsuk,1
elf-day,bebadass12,PCsDRAG0N,1
wear-purple-for-jia-2018,howatsteve,harryt68,1
stress-awareness-day,olibill12,Edu_Broker,1
jeans-for-genes-day,liammogz,nickymcdonald1,1
epilepsy-awareness-purple-day-2018,1proudcdn,OntarioNDP,1
carers-week-2018,izzardgill,age_uk,1
mens-health-week-2018,anenomepossum,YoungMindsUK,1
wear-purple-for-jia-2018,becinmonton,Ed_Miliband,1
jeans-for-genes-day,bizforyourself,wrigleyclaydon,1
mens-health-week-2018,publichealthmap,CDCSTD,1
elf-day,jennimitchell9,QS_BRRlaw,1
dry-january-2018,carlachrisellis,DrinkTg,1
national-dementia-carers-2018,cpnstarkiller,NEECCG,1
wear-purple-for-jia-2018,cake_anyone,Ed_Miliband,1
cervical-cancer-prevention-week-2018,drpshukla,ManjitGill,1
dementia-action-week-2018,facefrontuk,MagicMeArts,1
cervical-cancer-prevention-week-2018,hellohcp,HCP_Nevada,1
dry-january-2018,pichousesocial,girleatssheff,1
wear-purple-for-jia-2018,jenniej95408140,Clare_NRAS,1
rare-disease-day-2018,allorahcota,curejm,1
national-dyslexia-week-2018,ddyslexiact,MadeByDyslexia,1
